sr,productName,wPrice,priceType,rPrice,Material
217,Top 50-52,1360,KG,1450,Brass
218,Top Kalai +Polish +H 8-12,1380,KG,1500,Brass
219,Top Kalai +Polish +H 13 and above,1280,KG,1500,Brass
220,Chai Tea Top,1120,KG,1220,Brass
221,Langdi,1170,KG,1320,Brass
222,Langdi K+P,1280,KG,1500,Brass
223,Tasla Kadhai 6-7,1200,KG,1330,Brass
224,Tasla Kadhai 8-14,1100,KG,1230,Brass
225,Tasla Kadhai 15-24,1250,KG,1350,Brass
226,Tasla Kadhai 26-29,1350,KG,1450,Brass
227,Tasla Kadhai K+P 6-7,1250,KG,1440,Brass
228,Tasla Kadhai K+P 8-14,1150,KG,1330,Brass
229,Top Joint Bottom,1160,KG,1220,Brass
230,Langdi Joint Bottom,1180,KG,1240,Brass
231,Langdi Joint Bottom,1700,KG,1800,Copper
232,Langdi Regular,1750,KG,2100,Copper
233,Tavi K+P,1800,KG,1960,Copper
234,Tavi K+P,1480,KG,1700,Brass
235,Patiya Regular,1750,KG,1860,Copper
236,Patiya K+P Regular,1850,KG,2040,Copper
237,Patiya Heavy K+P,1850,KG,2040,Copper
238,Parat Bidding,1355,KG,1560,Brass
239,Parat 10,1470,KG,1600,Brass
240,Parat 11-13,1160,KG,1320,Brass
241,Parat 14,1160,KG,1320,Brass
242,Parat 15,1080,KG,1220,Brass
243,Parat 16-24,1060,KG,1220,Brass
244,Parat 25-30,1110,KG,1220,Brass
245,Parat 32-36,1160,KG,1220,Brass
246,Parat 13-14,1700,KG,2040,Copper
247,Parat 15-24,1700,KG,2040,Copper
248,Parat 25-30,1850,KG,2040,Copper
249,Parat Bidding,1750,KG,2100,Copper
250,Parsi Patiya K+P,1750,KG,2100,Copper
251,Parat Etching,2000,KG,2240,Copper
252,Kadhai Special Small,1850,KG,2040,Copper
253,Chaliya,1950,KG,2240,Copper
254,Tasla Kadhai,1850,KG,2040,Copper
255,Tasla Kadhai K+P,2050,KG,2240,Copper
256,Tasla Kadhai Heavy,1850,KG,2240,Copper
257,Samavar Kettle 0-12,1700,KG,1860,Copper
258,Samavar Kettle 13 ,1800,KG,1960,Copper
259,Top Regular,1750,KG,2100,Copper
260,Top Heavy,1850,KG,2160,Copper
261,Top Joint Bottom,1700,KG,1800,Copper
262,Frying Pan,1900,KG,2240,Copper
263,Deg / Sipri Heavy K+P,2000,KG,2200,Copper
264,Lucknowee 10,1780,KG,1860,Copper
265,Lucknowee 12-24,1725,KG,1885,Copper
266,Lucknowee 26-30,1800,KG,1960,Copper
267,Lucknowee 32-40,1800,KG,1960,Copper
268,Mahi Tawa,1850,KG,2040,Copper
269,Lid 8-14,1750,KG,2240,Copper
270,Lid 6-7.5,1850,KG,2240,Copper
271,Lid 8-14,1120,KG,1420,Brass
272,Lid 6-7.5,1320,KG,1500,Brass
273,Sheet Top,1300,KG,1600,Brass
274,Polished Top Plain,1330,KG,1600,Brass
275,Polished Top Hammered,1380,KG,1640,Brass
276,Chat Handi,1270,KG,1420,Brass
277,Glass New A,300,PP,320,Brass
278,Glass New B,320,PP,370,Brass
279,Glass New C,350,PP,420,Brass
280,3 No Glass,110,PP,170,Brass
281,4 No Glass,130,PP,220,Brass
282,Hammered Glass Pendi,260,PP,320,Brass
283,Etching Glass Pendi,260,PP,320,Brass
284,15 No Glass,,PP,,Brass
285,18 No Glass,350,PP,420,Brass
